time,total_slot_ms
0,22071
1,23237
2,75332
3,23044
4,28270
5,3668
6,0
7,26881
8,116163
9,167953
10,44366
11,18077261
12,1363997
13,0
14,0
15,0
16,0
17,0
18,1631352
19,0
20,0
21,0
22,0
23,0
24,255781
25,332645
26,346634
27,818184
28,335047
29,874314
30,175673
31,288846
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,155247
40,0
41,0
42,0
43,0
44,0
45,0
46,19750
47,0
48,14678
49,1195256
50,0
51,0
52,0
53,478688
54,1349972
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,45222
74,0
75,0
76,0
77,0
78,9998
79,0
80,0
81,0
82,0
83,0
84,319536
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,2763
94,0
95,0
96,35976
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,39202
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,3794169
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,5631549
130,208925
131,9234054
132,3373198
133,1562058
134,24730600
135,448222
136,0
137,0
138,5878407
139,0
140,0
141,1244
142,5864
143,0
144,12486685
145,5165089
146,7610025
147,2075736
148,373467
149,0
150,25328457
151,1109871
152,2088643
153,0
154,456599
155,1616600
156,12622684
157,21241149
158,7652464
159,2376476
160,3499285
161,0
162,2169762
163,0
164,4473
165,156807
166,0
167,53499
168,13745576
169,10755676
170,2852479
171,18929
172,0
173,0
174,18897830
175,2802236
176,41046
177,59685
178,5162
179,4733
180,4990608
181,5415
182,14475
183,0
184,0
185,90
186,0
187,0
188,0
189,0
190,0
191,0
192,5053361
193,25147
194,0
195,0
196,0
197,119
198,0
199,0
200,0
201,0
202,0
203,335
204,819271
205,15370
206,0
207,1572
208,0
209,0
210,0
211,0
212,7709
213,0
214,21665
215,0
216,8155998
217,3807153
218,0
219,0
220,0
221,112953
222,255020
223,369827
224,0
225,0
226,598406
227,200770
228,150834
229,26740
230,259632
231,41808
232,0
233,0
234,297038
235,0
236,0
237,182778
238,0
239,0
240,0
241,0
242,0
243,79762
244,0
245,0
246,94036
247,45338
248,1042111
249,153740
250,40442
251,0
252,2630
253,0
254,0
255,0
256,69
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,204142
265,28532
266,5364
267,395
268,3715
269,82147
270,2430
271,299
272,0
273,0
274,0
275,261244
276,313153
277,24214795
278,7536049
279,1235
280,290
281,74532
282,0
283,6176
284,287314
285,582352
286,956427
287,415450
288,891587
289,0
290,678929
291,886
292,354675
293,0
294,0
295,53227
296,0
297,0
298,4323
299,969321
300,692258
301,766690
302,351715
303,724349
304,833844
305,769581
306,725546
307,590069
308,1461958
309,15729
310,345918
311,779035
312,767371
313,842525
314,681488
315,1113966
316,811532
317,0
318,25
319,0
320,0
321,0
322,0
323,496445
324,0
325,400916
326,0
327,0
328,0
329,2982
330,0
331,0
332,0
333,0
334,2473
335,7245
336,7247
337,8252
338,1054
339,0
340,0
341,0
342,0
343,3811
344,2586
345,624
346,1773
347,1768
348,0
349,0
350,0
351,0
352,0
353,1301
354,917
355,2795
356,0
357,0
358,2125
359,0
360,38529
361,11220
362,4424
363,0
364,0
365,5758
366,970
367,0
368,0
369,0
370,0
371,0
372,294854
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,4337
382,0
383,0
384,0
385,37201
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,175158
396,35166
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,3403065
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,6356241
418,238998
419,9306461
420,3419030
421,1537590
422,26262162
423,484080
424,0
425,0
426,7228999
427,0
428,0
429,943
430,9617
431,0
432,18349854
433,7151560
434,2377968
435,0
436,0
437,0
438,20365915
439,0
440,185706
441,1840591
442,1846936
443,447652
444,24610273
445,11183991
446,2786352
447,2623705
448,3803371
449,1077593
450,3133468
451,7721
452,1885096
453,650727
454,1425747
455,697177
456,15130507
457,8515780
458,10885025
459,15287311
460,414324
461,2242230
462,20228471
463,3269630
464,941
465,6711291
466,1911892
467,2664402
468,5635859
469,3807125
470,45812
471,602421
472,1175299
473,15830
474,0
475,8543
476,1150
477,5630
478,369734
479,2094675
480,4519336
481,284697
482,2232751
483,154984
484,727975
485,8770
486,35313
487,9213
488,13638
489,5281
490,7949
491,0
492,1000260
493,14012
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,11931743
505,266382
506,285891
507,1256786
508,122829
509,1117799
510,111779
511,10312
512,887528
513,678012
514,804512
515,9613
516,51170
517,0
518,3870
519,303034
520,230391
521,434159
522,1107401
523,2173
524,21600
525,1885362
526,44813
527,350427
528,710627
529,920208
530,22112171
531,128189
532,347351
533,500298
534,356820
535,210520
536,1394615
537,3339
538,92
539,0
540,222
541,10707605
542,1007937
543,129894
544,97
545,0
546,1871570
547,16291023
548,3635951
549,3416
550,0
551,13949
552,317018
553,18427998
554,8114
555,11522
556,3319803
557,820
558,298
559,0
560,2700184
561,309101
562,273372
563,0
564,33004
565,519654
566,0
567,42789
568,1585
569,1567
570,1289
571,3750668
572,539029
573,1201
574,420
575,1845
576,1166115
577,388708
578,235100
579,908
580,59684
581,0
582,8632
583,6065154
584,13607670
585,512
586,57680
587,23224
588,5957431
589,7544
590,0
591,7351498
592,86
593,0
594,15677
595,0
596,108172
597,945
598,0
599,0
600,0
601,38864
602,67210
603,918
604,13
605,0
606,46840
607,0
608,1249
609,857
610,0
611,29475
612,0
613,178109
614,0
615,0
616,20
617,0
618,0
619,70023
620,11274
621,0
622,0
623,0
624,6906
625,8045
626,0
627,0
628,36
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,8704
638,0
639,0
640,40
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,46061
650,0
651,0
652,19
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,382881
661,9331
662,0
663,0
664,44
665,0
666,0
667,0
668,0
669,3274
670,0
671,0
672,31312
673,9402
674,0
675,0
676,24
677,0
678,0
679,0
680,0
681,0
682,0
683,214536
684,29154
685,8473
686,0
687,0
688,28
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,4242296
697,8437
698,0
699,0
700,13
701,0
702,0
703,0
704,0
705,6626759
706,190132
707,10197102
708,3997570
709,26270158
710,5295268
711,514873
712,27
713,0
714,6983210
715,0
716,0
717,1027
718,6265
719,65472
720,13312583
721,6844797
722,2003970
723,8994233
724,839198
725,35323
726,26638429
727,15433511
728,2268325
729,0
730,12954
731,0
732,2111207
733,24671330
734,23452834
735,5481275
736,9543457
737,1860342
738,1999722
739,0
740,228
741,1972865
742,4939022
743,1306813
744,16631595
745,17410134
746,239498
747,7933
748,29
749,6310725
750,23872780
751,6694676
752,1401404
753,400377
754,843926
755,6167340
756,8893429
757,1898605
758,2367538
759,5010744
760,10551989
761,1346704
762,5800507
763,3880756
764,379084
765,403960
766,804693
767,379083
768,6297609
769,442738
770,396941
771,264948
772,20
773,0
774,162870
775,104342
776,0
777,0
778,0
779,0
780,33764
781,23152
782,20316
783,0
784,20
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,10227196
793,18831
794,0
795,0
796,10254408
797,8689069
798,0
799,0
800,0
801,0
802,0
803,0
804,35086
805,9721
806,0
807,0
808,36
809,16296
810,0
